DAY,HR,MI,MMEPOOL,REGION,MARKET,MARKET_DESC,SITE,ENODEB,EUTRANCELL,CARRIER,FREQ,CellUnavailableTimeDown,ConnNoAvg,S_RRU:CELLUNAVAILABLETIMEDOWN,S_RRC:CONNNOAVG
01/06/2023,15,45,Central Texas,Central Texas,137,Austin,SERENADA,137225,1,1,5230,687,3.81,687,3.81
01/06/2023,15,45,Central Texas,Central Texas,137,Austin,SERENADA,137225,1,2,2100,0,63.84,0,63.84
01/06/2023,15,45,Central Texas,Central Texas,137,Austin,SERENADA,137225,1,4,677,0,76.03,0,76.03
01/06/2023,15,45,Central Texas,Central Texas,137,Austin,SERENADA,137225,1,8,66936,0,27.12,0,27.12
01/06/2023,15,45,Central Texas,Central Texas,137,Austin,SERENADA,137225,19,1,null,900,0,900,0
01/06/2023,15,45,Central Texas,Central Texas,137,Austin,SERENADA,137225,19,2,null,900,0,900,0
01/06/2023,15,45,Central Texas,Central Texas,137,Austin,SERENADA,137225,19,3,null,900,0,900,0
01/06/2023,15,45,Central Texas,Central Texas,137,Austin,SERENADA,137225,19,4,null,900,0,900,0
01/06/2023,15,45,Central Texas,Central Texas,137,Austin,SERENADA,137225,2,1,5230,690,3.92,690,3.92
01/06/2023,15,45,Central Texas,Central Texas,137,Austin,SERENADA,137225,2,2,2100,0,58.35,0,58.35
01/06/2023,15,45,Central Texas,Central Texas,137,Austin,SERENADA,137225,2,4,677,0,98.62,0,98.62
01/06/2023,15,45,Central Texas,Central Texas,137,Austin,SERENADA,137225,2,8,66936,0,12.6,0,12.6
01/06/2023,15,45,Central Texas,Central Texas,137,Austin,SERENADA,137225,20,1,null,900,0,900,0
01/06/2023,15,45,Central Texas,Central Texas,137,Austin,SERENADA,137225,20,2,null,900,0,900,0
01/06/2023,15,45,Central Texas,Central Texas,137,Austin,SERENADA,137225,20,3,null,900,0,900,0
01/06/2023,15,45,Central Texas,Central Texas,137,Austin,SERENADA,137225,20,4,null,900,0,900,0
01/06/2023,15,45,Central Texas,Central Texas,137,Austin,SERENADA,137225,21,1,null,900,0,900,0
01/06/2023,15,45,Central Texas,Central Texas,137,Austin,SERENADA,137225,21,2,null,900,0,900,0
01/06/2023,15,45,Central Texas,Central Texas,137,Austin,SERENADA,137225,21,3,null,900,0,900,0
01/06/2023,15,45,Central Texas,Central Texas,137,Austin,SERENADA,137225,21,4,null,900,0,900,0
01/06/2023,15,45,Central Texas,Central Texas,137,Austin,SERENADA,137225,3,1,5230,670,0.68,670,0.68
01/06/2023,15,45,Central Texas,Central Texas,137,Austin,SERENADA,137225,3,2,2100,0,29.99,0,29.99
01/06/2023,15,45,Central Texas,Central Texas,137,Austin,SERENADA,137225,3,4,677,0,34.22,0,34.22
01/06/2023,15,45,Central Texas,Central Texas,137,Austin,SERENADA,137225,3,8,66936,0,8.02,0,8.02
01/06/2023,16,00,Central Texas,Central Texas,137,Austin,SERENADA,137225,1,1,5230,0,58.97,0,58.97
01/06/2023,16,00,Central Texas,Central Texas,137,Austin,SERENADA,137225,1,2,2100,0,59.11,0,59.11
01/06/2023,16,00,Central Texas,Central Texas,137,Austin,SERENADA,137225,1,4,677,0,72.96,0,72.96
01/06/2023,16,00,Central Texas,Central Texas,137,Austin,SERENADA,137225,1,8,66936,0,27.62,0,27.62
01/06/2023,16,00,Central Texas,Central Texas,137,Austin,SERENADA,137225,19,1,null,900,0,900,0
01/06/2023,16,00,Central Texas,Central Texas,137,Austin,SERENADA,137225,19,2,null,900,0,900,0
