DAY,HR,MI,MMEPOOL,REGION,MARKET,MARKET_DESC,SITE,ENODEB,EUTRANCELL,CARRIER,FREQ,CellUnavailableTimeDown,ConnNoAvg,S_RRU:CELLUNAVAILABLETIMEDOWN,S_RRC:CONNNOAVG
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,1,1,5230,49,39.81,49,39.81
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,1,2,2125,0,11.17,0,11.17
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,1,4,1000,0,9.09,0,9.09
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,1,7,2560,0,15.95,0,15.95
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,1,8,67086,0,3.48,0,3.48
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,19,1,null,900,0,900,0
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,19,2,null,900,0,900,0
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,19,3,null,900,0,900,0
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,19,4,null,900,0,900,0
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,2,1,5230,50,60.15,50,60.15
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,2,2,2125,0,65.91,0,65.91
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,2,4,1000,0,36.9,0,36.9
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,2,7,2560,0,46.93,0,46.93
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,2,8,67086,0,26.1,0,26.1
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,20,1,null,900,0,900,0
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,20,2,null,900,0,900,0
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,20,3,null,900,0,900,0
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,20,4,null,900,0,900,0
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,21,1,null,900,0,900,0
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,21,2,null,900,0,900,0
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,21,3,null,900,0,900,0
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,21,4,null,900,0,900,0
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,3,1,5230,51,44.14,51,44.14
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,3,2,2125,0,12.26,0,12.26
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,3,4,1000,0,8.67,0,8.67
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,3,7,2560,0,18.91,0,18.91
12/29/2022,11,45,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,3,8,67086,0,4.05,0,4.05
12/29/2022,12,00,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,1,1,5230,0,48.71,0,48.71
12/29/2022,12,00,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,1,2,2125,77,6.14,77,6.14
12/29/2022,12,00,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,1,4,1000,67,5.64,67,5.64
12/29/2022,12,00,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,1,7,2560,0,26.46,0,26.46
12/29/2022,12,00,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,1,8,67086,68,2,68,2
12/29/2022,12,00,Philadelphia Tri-State,Philadelphia Tri-State,102,Wilmington,CHESAPEAKE_CITY,102204,19,1,null,900,0,900,0
