DAY,HR,MI,MMEPOOL,REGION,MARKET,MARKET_DESC,SITE,ENODEB,EUTRANCELL,CARRIER,FREQ,CellUnavailableTimeDown,ConnNoAvg,S_RRU:CELLUNAVAILABLETIMEDOWN,S_RRC:CONNNOAVG
12/22/2022,14,00,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,1,1,5230,0,86.86,0,86.86
12/22/2022,14,00,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,1,2,null,0,86.4,0,86.4
12/22/2022,14,00,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,1,8,null,0,13.86,0,13.86
12/22/2022,14,00,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,2,1,5230,0,53.18,0,53.18
12/22/2022,14,00,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,2,2,null,0,4.14,0,4.14
12/22/2022,14,00,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,2,6,null,0,6.51,0,6.51
12/22/2022,14,00,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,2,8,null,0,2.63,0,2.63
12/22/2022,14,00,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,3,1,5230,0,32.06,0,32.06
12/22/2022,14,00,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,3,2,null,9,0.85,9,0.85
12/22/2022,14,00,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,3,6,null,0,8.64,0,8.64
12/22/2022,14,00,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,3,8,null,9,0.6,9,0.6
12/22/2022,14,15,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,1,1,5230,0,87.29,0,87.29
12/22/2022,14,15,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,1,2,null,0,80.49,0,80.49
12/22/2022,14,15,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,1,8,null,0,15.76,0,15.76
12/22/2022,14,15,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,2,1,5230,0,59.28,0,59.28
12/22/2022,14,15,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,2,2,null,0,5.73,0,5.73
12/22/2022,14,15,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,2,6,null,0,5.22,0,5.22
12/22/2022,14,15,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,2,8,null,0,2.94,0,2.94
12/22/2022,14,15,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,3,1,5230,0,27.79,0,27.79
12/22/2022,14,15,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,3,2,null,0,1.58,0,1.58
12/22/2022,14,15,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,3,6,null,0,7.35,0,7.35
12/22/2022,14,15,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,3,8,null,0,0.24,0,0.24
12/22/2022,14,30,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,1,1,5230,111,65.63,111,65.63
12/22/2022,14,30,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,1,2,null,95,62.68,95,62.68
12/22/2022,14,30,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,1,8,null,96,15.22,96,15.22
12/22/2022,14,30,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,2,1,5230,116,43.4,116,43.4
12/22/2022,14,30,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,2,2,null,106,4.94,106,4.94
12/22/2022,14,30,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,2,6,null,117,3.21,117,3.21
12/22/2022,14,30,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,2,8,null,108,3.23,108,3.23
12/22/2022,14,30,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,3,1,5230,110,22.37,110,22.37
12/22/2022,14,30,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,3,2,null,93,0.86,93,0.86
12/22/2022,14,30,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,3,6,null,111,5.62,111,5.62
12/22/2022,14,30,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,3,8,null,94,0.36,94,0.36
12/22/2022,14,45,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,1,1,5230,0,82.96,0,82.96
12/22/2022,14,45,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,1,2,null,0,82.36,0,82.36
12/22/2022,14,45,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,1,8,null,0,10.83,0,10.83
12/22/2022,14,45,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,2,1,5230,0,50.95,0,50.95
12/22/2022,14,45,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,2,2,null,0,2.54,0,2.54
12/22/2022,14,45,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,2,6,null,0,3.41,0,3.41
12/22/2022,14,45,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,2,8,null,0,3.2,0,3.2
12/22/2022,14,45,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,3,1,5230,0,26.33,0,26.33
12/22/2022,14,45,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,3,2,null,0,1.3,0,1.3
12/22/2022,14,45,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,3,6,null,0,3.15,0,3.15
12/22/2022,14,45,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,3,8,null,0,0.35,0,0.35
12/22/2022,15,00,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,1,1,5230,0,92.58,0,92.58
12/22/2022,15,00,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,1,2,null,0,85.84,0,85.84
12/22/2022,15,00,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,1,8,null,0,16.42,0,16.42
12/22/2022,15,00,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,2,1,5230,0,58.58,0,58.58
12/22/2022,15,00,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,2,2,null,0,3.55,0,3.55
12/22/2022,15,00,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,2,6,null,0,3.56,0,3.56
12/22/2022,15,00,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,2,8,null,0,2.98,0,2.98
12/22/2022,15,00,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,3,1,5230,0,29.14,0,29.14
12/22/2022,15,00,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,3,2,null,0,1.79,0,1.79
12/22/2022,15,00,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,3,6,null,0,4.2,0,4.2
12/22/2022,15,00,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,3,8,null,0,0.6,0,0.6
12/22/2022,15,15,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,1,1,5230,0,86.77,0,86.77
12/22/2022,15,15,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,1,2,null,0,83.26,0,83.26
12/22/2022,15,15,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,1,8,null,0,18.77,0,18.77
12/22/2022,15,15,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,2,1,5230,0,61.61,0,61.61
12/22/2022,15,15,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,2,2,null,0,4.38,0,4.38
12/22/2022,15,15,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,2,6,null,0,3.36,0,3.36
12/22/2022,15,15,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,2,8,null,0,1.92,0,1.92
12/22/2022,15,15,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,3,1,5230,0,30.44,0,30.44
12/22/2022,15,15,South Central,South Central,181,Memphis - WestTenn,SOUTH_FULTON,181062,3,2,null,0,1.56,0,1.56
