DAY,HR,MI,MMEPOOL,REGION,MARKET,MARKET_DESC,SITE,ENODEB,EUTRANCELL,CARRIER,FREQ,CellUnavailableTimeDown,ConnNoAvg,S_RRU:CELLUNAVAILABLETIMEDOWN,S_RRC:CONNNOAVG
12/21/2022,13,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,2,2050,0,0,0,0
12/21/2022,13,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,4,1100,0,0,0,0
12/21/2022,13,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,2,2050,0,0,0,0
12/21/2022,13,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,4,1100,0,0,0,0
12/21/2022,13,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,2,2050,0,0.39,0,0.39
12/21/2022,13,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,4,1100,0,0.27,0,0.27
12/21/2022,13,15,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,1,5230,483,21.06,483,21.06
12/21/2022,13,15,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,2,2050,701,0.14,701,0.14
12/21/2022,13,15,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,4,1100,701,0.43,701,0.43
12/21/2022,13,15,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,7,null,427,1.86,427,1.86
12/21/2022,13,15,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,1,5230,482,4.51,482,4.51
12/21/2022,13,15,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,2,2050,0,94.63,0,94.63
12/21/2022,13,15,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,4,1100,0,72.25,0,72.25
12/21/2022,13,15,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,7,null,428,2.87,428,2.87
12/21/2022,13,15,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,1,5230,426,14.57,426,14.57
12/21/2022,13,15,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,2,2050,0,100.16,0,100.16
12/21/2022,13,15,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,4,1100,0,85.91,0,85.91
12/21/2022,13,15,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,7,null,429,1.91,429,1.91
12/21/2022,13,30,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,1,5230,0,45.22,0,45.22
12/21/2022,13,30,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,2,2050,0,131.02,0,131.02
12/21/2022,13,30,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,4,1100,0,167.95,0,167.95
12/21/2022,13,30,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,7,null,0,7.49,0,7.49
12/21/2022,13,30,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,1,5230,0,13.69,0,13.69
12/21/2022,13,30,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,2,2050,0,64.45,0,64.45
12/21/2022,13,30,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,4,1100,0,58,0,58
12/21/2022,13,30,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,7,null,0,20.93,0,20.93
12/21/2022,13,30,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,1,5230,0,44.04,0,44.04
12/21/2022,13,30,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,2,2050,0,83.73,0,83.73
12/21/2022,13,30,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,4,1100,0,78.36,0,78.36
12/21/2022,13,30,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,7,null,0,17.94,0,17.94
12/21/2022,13,45,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,1,5230,0,33.28,0,33.28
12/21/2022,13,45,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,2,2050,0,147.78,0,147.78
12/21/2022,13,45,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,4,1100,0,185.82,0,185.82
12/21/2022,13,45,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,7,null,0,5.3,0,5.3
12/21/2022,13,45,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,1,5230,0,17.6,0,17.6
12/21/2022,13,45,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,2,2050,0,63.23,0,63.23
12/21/2022,13,45,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,4,1100,0,59.85,0,59.85
12/21/2022,13,45,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,7,null,0,18.25,0,18.25
12/21/2022,13,45,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,1,5230,0,47.53,0,47.53
12/21/2022,13,45,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,2,2050,0,98.74,0,98.74
12/21/2022,13,45,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,4,1100,0,81.9,0,81.9
12/21/2022,13,45,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,7,null,0,22.28,0,22.28
12/21/2022,13,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,1,5230,0,0,0,0
12/21/2022,13,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,7,null,0,0,0,0
12/21/2022,13,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,1,5230,0,0,0,0
12/21/2022,13,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,7,null,0,0,0,0
12/21/2022,13,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,1,5230,0,0,0,0
12/21/2022,13,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,7,null,0,0,0,0
12/21/2022,14,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,1,5230,0,28.02,0,28.02
12/21/2022,14,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,2,2050,0,159.85,0,159.85
12/21/2022,14,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,4,1100,0,172.33,0,172.33
12/21/2022,14,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,7,null,0,8.58,0,8.58
12/21/2022,14,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,1,5230,0,21.24,0,21.24
12/21/2022,14,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,2,2050,0,62.1,0,62.1
12/21/2022,14,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,4,1100,0,58.38,0,58.38
12/21/2022,14,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,7,null,0,21.1,0,21.1
12/21/2022,14,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,1,5230,0,44.61,0,44.61
12/21/2022,14,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,2,2050,0,93.38,0,93.38
12/21/2022,14,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,4,1100,0,75.03,0,75.03
12/21/2022,14,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,7,null,0,17.19,0,17.19
12/21/2022,14,15,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,1,5230,0,28.44,0,28.44
12/21/2022,14,15,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,2,2050,0,174.38,0,174.38
12/21/2022,14,15,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,4,1100,0,178.65,0,178.65
12/21/2022,14,15,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,7,null,0,4.3,0,4.3
12/21/2022,14,15,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,1,5230,0,20.44,0,20.44
12/21/2022,14,15,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,2,2050,0,73.86,0,73.86
12/21/2022,14,15,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,4,1100,0,57.55,0,57.55
12/21/2022,14,15,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,7,null,0,23.52,0,23.52
12/21/2022,14,15,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,1,5230,0,47.79,0,47.79
12/21/2022,14,15,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,2,2050,0,92.5,0,92.5
12/21/2022,14,15,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,4,1100,0,78.83,0,78.83
12/21/2022,14,15,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,7,null,0,20.2,0,20.2
12/21/2022,14,30,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,1,5230,0,25.31,0,25.31
12/21/2022,14,30,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,2,2050,0,172.52,0,172.52
12/21/2022,14,30,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,4,1100,0,182.74,0,182.74
12/21/2022,14,30,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,7,null,0,6.78,0,6.78
12/21/2022,14,30,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,1,5230,0,18.27,0,18.27
12/21/2022,14,30,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,2,2050,0,64.42,0,64.42
12/21/2022,14,30,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,4,1100,0,51,0,51
12/21/2022,14,30,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,7,null,0,22.61,0,22.61
12/21/2022,14,30,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,1,5230,0,51.88,0,51.88
12/21/2022,14,30,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,2,2050,0,101.89,0,101.89
12/21/2022,14,30,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,4,1100,0,79.92,0,79.92
12/21/2022,14,30,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,7,null,0,19.96,0,19.96
12/21/2022,14,45,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,1,5230,0,26.95,0,26.95
12/21/2022,14,45,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,2,2050,0,136.82,0,136.82
12/21/2022,14,45,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,4,1100,0,174.1,0,174.1
12/21/2022,14,45,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,7,null,0,6.88,0,6.88
12/21/2022,14,45,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,1,5230,0,16.32,0,16.32
12/21/2022,14,45,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,2,2050,0,64.12,0,64.12
12/21/2022,14,45,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,4,1100,0,47.76,0,47.76
12/21/2022,14,45,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,7,null,0,22.61,0,22.61
12/21/2022,14,45,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,1,5230,0,48.6,0,48.6
12/21/2022,14,45,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,2,2050,0,99.73,0,99.73
12/21/2022,14,45,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,4,1100,0,68.12,0,68.12
12/21/2022,14,45,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,7,null,0,20.56,0,20.56
12/21/2022,15,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,1,5230,0,24.46,0,24.46
12/21/2022,15,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,2,2050,0,144.16,0,144.16
12/21/2022,15,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,4,1100,0,183.73,0,183.73
12/21/2022,15,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,1,7,null,0,7.82,0,7.82
12/21/2022,15,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,1,5230,0,15.84,0,15.84
12/21/2022,15,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,2,2050,0,60.36,0,60.36
12/21/2022,15,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,4,1100,0,46.64,0,46.64
12/21/2022,15,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,2,7,null,0,22.22,0,22.22
12/21/2022,15,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,1,5230,0,53.95,0,53.95
12/21/2022,15,00,New York Metro,Philadelphia Tri-State,088,West - Branchburg 1,Linden4,088376,3,2,2050,0,101.7,0,101.7
