DAY,HR,MI,MMEPOOL,REGION,MARKET,MARKET_DESC,SITE,ENODEB,EUTRANCELL,CARRIER,FREQ,SAMPLES_CELL_AVAIL,SAMPLES_CELL_PLAN_UNAVAIL,RRC_CONNECTED_UE_AVG,AS_CELL_AVAILABILITY:SAMPLES_CELL_AVAIL,AS_CELL_AVAILABILITY:SAMPLES_CELL_PLAN_UNAVAIL,AS_UE_QUANTITY:RRC_CONNECTED_UE_AVG
01/07/2023,00,00,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,1,1,5230,900,0,11,900,0,11
01/07/2023,00,00,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,1,2,2050,900,0,15,900,0,15
01/07/2023,00,00,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,2,1,5230,900,0,19,900,0,19
01/07/2023,00,00,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,2,2,2050,900,0,25,900,0,25
01/07/2023,00,00,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,3,1,5230,900,0,10,900,0,10
01/07/2023,00,00,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,3,2,2050,900,0,19,900,0,19
01/07/2023,00,15,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,1,1,5230,900,0,9,900,0,9
01/07/2023,00,15,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,1,2,2050,900,0,15,900,0,15
01/07/2023,00,15,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,2,1,5230,900,0,19,900,0,19
01/07/2023,00,15,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,2,2,2050,900,0,23,900,0,23
01/07/2023,00,15,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,3,1,5230,900,0,10,900,0,10
01/07/2023,00,15,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,3,2,2050,900,0,18,900,0,18
01/07/2023,00,30,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,1,1,5230,900,0,9,900,0,9
01/07/2023,00,30,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,1,2,2050,900,0,14,900,0,14
01/07/2023,00,30,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,2,1,5230,900,0,17,900,0,17
01/07/2023,00,30,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,2,2,2050,900,0,23,900,0,23
01/07/2023,00,30,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,3,1,5230,900,0,11,900,0,11
01/07/2023,00,30,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,3,2,2050,900,0,19,900,0,19
01/07/2023,00,45,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,1,1,5230,900,0,8,900,0,8
01/07/2023,00,45,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,1,2,2050,900,0,13,900,0,13
01/07/2023,00,45,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,2,1,5230,900,0,14,900,0,14
01/07/2023,00,45,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,2,2,2050,900,0,21,900,0,21
01/07/2023,00,45,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,3,1,5230,900,0,10,900,0,10
01/07/2023,00,45,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,3,2,2050,900,0,19,900,0,19
01/07/2023,01,00,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,1,1,5230,900,0,8,900,0,8
01/07/2023,01,00,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,1,2,2050,900,0,13,900,0,13
01/07/2023,01,00,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,2,1,5230,900,0,14,900,0,14
01/07/2023,01,00,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,2,2,2050,900,0,24,900,0,24
01/07/2023,01,00,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,3,1,5230,900,0,9,900,0,9
01/07/2023,01,00,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,3,2,2050,900,0,17,900,0,17
01/07/2023,01,15,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,1,1,5230,900,0,6,900,0,6
01/07/2023,01,15,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,1,2,2050,900,0,14,900,0,14
01/07/2023,01,15,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,2,1,5230,900,0,13,900,0,13
01/07/2023,01,15,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,2,2,2050,900,0,21,900,0,21
01/07/2023,01,15,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,3,1,5230,900,0,10,900,0,10
01/07/2023,01,15,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,3,2,2050,900,0,16,900,0,16
01/07/2023,01,30,Washington/Baltimore/Virginia,Washington/Baltimore/Virginia,115,Charlottesville - Goods Bridge,BEAR_SNAKE,115183,1,1,5230,900,0,6,900,0,6
