DAY,HR,MI,MMEPOOL,REGION,MARKET,MARKET_DESC,SITE,ENODEB,EUTRANCELL,CARRIER,FREQ,CellUnavailableTimeDown,ConnNoAvg,S_RRU:CELLUNAVAILABLETIMEDOWN,S_RRC:CONNNOAVG
12/21/2022,13,30,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,1,1,5230,900,0,900,0
12/21/2022,13,30,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,1,2,2150,76,2.54,76,2.54
12/21/2022,13,30,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,1,4,675,77,0.49,77,0.49
12/21/2022,13,30,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,1,6,null,900,0,900,0
12/21/2022,13,30,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,1,8,null,80,0.33,80,0.33
12/21/2022,13,30,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,2,1,5230,900,0,900,0
12/21/2022,13,30,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,2,2,2150,22,20.87,22,20.87
12/21/2022,13,30,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,2,4,675,23,14.65,23,14.65
12/21/2022,13,30,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,2,6,null,900,0,900,0
12/21/2022,13,30,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,2,8,null,24,0.69,24,0.69
12/21/2022,13,30,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,3,1,5230,900,0,900,0
12/21/2022,13,30,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,3,2,2150,26,146.14,26,146.14
12/21/2022,13,30,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,3,4,675,27,123.16,27,123.16
12/21/2022,13,30,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,3,6,null,900,0,900,0
12/21/2022,13,30,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,3,8,null,900,0,900,0
12/21/2022,13,45,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,1,1,5230,900,0,900,0
12/21/2022,13,45,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,1,2,2150,0,2.65,0,2.65
12/21/2022,13,45,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,1,4,675,0,0.98,0,0.98
12/21/2022,13,45,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,1,6,null,900,0,900,0
12/21/2022,13,45,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,1,8,null,0,0.06,0,0.06
12/21/2022,13,45,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,2,1,5230,900,0,900,0
12/21/2022,13,45,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,2,2,2150,0,23.52,0,23.52
12/21/2022,13,45,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,2,4,675,0,17.97,0,17.97
12/21/2022,13,45,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,2,6,null,900,0,900,0
12/21/2022,13,45,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,2,8,null,0,0.16,0,0.16
12/21/2022,13,45,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,3,1,5230,900,0,900,0
12/21/2022,13,45,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,3,2,2150,0,167.26,0,167.26
12/21/2022,13,45,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,3,4,675,0,133.6,0,133.6
12/21/2022,13,45,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,3,6,null,900,0,900,0
12/21/2022,13,45,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,3,8,null,900,0,900,0
12/21/2022,14,00,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,1,1,5230,0,0,0,0
12/21/2022,14,00,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,1,2,2150,0,0,0,0
12/21/2022,14,00,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,1,4,675,0,0,0,0
12/21/2022,14,00,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,1,6,null,0,0,0,0
12/21/2022,14,00,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,1,8,null,0,0,0,0
12/21/2022,14,00,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,2,1,5230,0,0,0,0
12/21/2022,14,00,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,2,2,2150,0,0,0,0
12/21/2022,14,00,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,2,4,675,0,0,0,0
12/21/2022,14,00,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,2,6,null,0,0,0,0
12/21/2022,14,00,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,2,8,null,0,0,0,0
12/21/2022,14,00,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,3,1,5230,0,0,0,0
12/21/2022,14,00,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,3,2,2150,0,0,0,0
12/21/2022,14,00,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,3,4,675,0,0,0,0
12/21/2022,14,00,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,3,6,null,0,0,0,0
12/21/2022,14,00,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,3,8,null,0,0,0,0
12/21/2022,14,15,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,1,1,5230,0,0.44,0,0.44
12/21/2022,14,15,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,1,2,2150,0,1.93,0,1.93
12/21/2022,14,15,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,1,4,675,0,1.11,0,1.11
12/21/2022,14,15,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,1,6,null,0,0.59,0,0.59
12/21/2022,14,15,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,1,8,null,0,0.12,0,0.12
12/21/2022,14,15,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,2,1,5230,0,2.95,0,2.95
12/21/2022,14,15,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,2,2,2150,0,18.31,0,18.31
12/21/2022,14,15,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,2,4,675,0,13.64,0,13.64
12/21/2022,14,15,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,2,6,null,0,3.59,0,3.59
12/21/2022,14,15,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,2,8,null,0,2.67,0,2.67
12/21/2022,14,15,Central Texas,Central Texas,139,Midland,TX14_MCCAMEY_RELO,139796,3,1,5230,0,34.14,0,34.14
