DAY,HR,MI,MMEPOOL,REGION,MARKET,MARKET_DESC,SITE,ENODEB,EUTRANCELL,CARRIER,FREQ,CellUnavailableTimeDown,ConnNoAvg,S_RRU:CELLUNAVAILABLETIMEDOWN,S_RRC:CONNNOAVG
12/14/2022,16,00,Central Texas,Central Texas,136,San Antonio - Schertz,COOPER,136021,1,1,5230,0,19.75,0,19.75
12/14/2022,16,00,Central Texas,Central Texas,136,San Antonio - Schertz,COOPER,136021,1,2,2100,0,19.11,0,19.11
12/14/2022,16,00,Central Texas,Central Texas,136,San Antonio - Schertz,COOPER,136021,1,4,877,0,26.73,0,26.73
12/14/2022,16,00,Central Texas,Central Texas,136,San Antonio - Schertz,COOPER,136021,1,8,66936,0,17.05,0,17.05
12/14/2022,16,00,Central Texas,Central Texas,136,San Antonio - Schertz,COOPER,136021,19,1,null,900,0,900,0
12/14/2022,16,00,Central Texas,Central Texas,136,San Antonio - Schertz,COOPER,136021,19,2,null,900,0,900,0
12/14/2022,16,00,Central Texas,Central Texas,136,San Antonio - Schertz,COOPER,136021,19,3,null,900,0,900,0
12/14/2022,16,00,Central Texas,Central Texas,136,San Antonio - Schertz,COOPER,136021,19,4,null,900,0,900,0
12/14/2022,16,00,Central Texas,Central Texas,136,San Antonio - Schertz,COOPER,136021,2,1,5230,0,41.07,0,41.07
12/14/2022,16,00,Central Texas,Central Texas,136,San Antonio - Schertz,COOPER,136021,2,2,2100,0,31.57,0,31.57
12/14/2022,16,00,Central Texas,Central Texas,136,San Antonio - Schertz,COOPER,136021,2,4,877,0,79.68,0,79.68
12/14/2022,16,00,Central Texas,Central Texas,136,San Antonio - Schertz,COOPER,136021,2,8,66936,0,45.03,0,45.03
12/14/2022,16,00,Central Texas,Central Texas,136,San Antonio - Schertz,COOPER,136021,20,1,null,900,0,900,0
12/14/2022,16,00,Central Texas,Central Texas,136,San Antonio - Schertz,COOPER,136021,20,2,null,900,0,900,0
12/14/2022,16,00,Central Texas,Central Texas,136,San Antonio - Schertz,COOPER,136021,20,3,null,900,0,900,0
12/14/2022,16,00,Central Texas,Central Texas,136,San Antonio - Schertz,COOPER,136021,20,4,null,900,0,900,0
