DAY,HR,MI,MMEPOOL,REGION,MARKET,MARKET_DESC,SITE,ENODEB,EUTRANCELL,CARRIER,FREQ,CellUnavailableTimeDown,ConnNoAvg,S_RRU:CELLUNAVAILABLETIMEDOWN,S_RRC:CONNNOAVG
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,1,1,5230,0,4.51,0,4.51
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,1,2,2050,0,22.32,0,22.32
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,1,4,1100,0,26.07,0,26.07
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,19,5,null,900,0,900,0
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,19,6,null,900,0,900,0
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,19,7,null,900,0,900,0
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,19,8,null,900,0,900,0
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,2,1,5230,0,12.86,0,12.86
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,2,2,2050,0,22.61,0,22.61
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,2,4,1100,0,24.83,0,24.83
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,20,5,null,900,0,900,0
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,20,6,null,900,0,900,0
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,20,7,null,900,0,900,0
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,20,8,null,900,0,900,0
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,21,5,null,900,0,900,0
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,21,6,null,900,0,900,0
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,21,7,null,900,0,900,0
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,21,8,null,900,0,900,0
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,22,5,null,900,0,900,0
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,22,6,null,900,0,900,0
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,22,7,null,900,0,900,0
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,22,8,null,900,0,900,0
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,3,1,5230,0,3.06,0,3.06
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,3,2,2050,0,15.46,0,15.46
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,3,4,1100,0,13.25,0,13.25
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,4,1,null,0,1.34,0,1.34
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,4,2,null,0,11.78,0,11.78
12/19/2022,23,00,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,4,4,null,0,16.72,0,16.72
12/19/2022,23,15,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,1,1,5230,0,4.04,0,4.04
12/19/2022,23,15,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,1,2,2050,0,21.62,0,21.62
12/19/2022,23,15,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,1,4,1100,0,24.88,0,24.88
12/19/2022,23,15,New York Metro,New York Metro,079,Bronx Upper Manhattan- WNyack2,AMSTERDAM_AND_100TH_L,079421,19,5,null,900,0,900,0
